1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice_log,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
856,854.0,3.0,706,150,548,2003.0,1710,8450,65.0,196.0,61,5,7,856,2003,2003,12.247694320220994,False,False,True,False,True,False,False,False,True,False,False,True,False
1262,0.0,3.0,978,284,460,1976.0,1262,9600,80.0,0.0,0,8,6,1262,1976,1976,12.109010932687042,True,False,False,False,False,False,False,False,True,False,False,False,True
920,866.0,3.0,486,434,608,2001.0,1786,11250,68.0,162.0,42,5,7,920,2001,2002,12.31716669303576,False,True,False,False,True,False,False,False,True,False,False,True,False
961,0.0,3.0,216,540,642,1998.0,1717,9550,60.0,0.0,35,5,7,756,1915,1970,11.84939770159144,False,False,True,False,False,False,False,False,False,True,False,True,False
1145,0.0,4.0,655,490,836,2000.0,2198,14260,84.0,350.0,84,5,8,1145,2000,2000,12.429216196844385,False,False,False,False,True,False,False,False,True,False,False,True,False
796,566.0,1.0,732,64,480,1993.0,1362,14115,85.0,0.0,30,5,5,796,1993,1995,11.870599909242044,False,False,True,False,True,False,False,False,False,True,False,False,True
1694,0.0,3.0,1369,317,636,2004.0,1694,10084,75.0,186.0,57,5,8,1686,2004,2005,12.634603026569334,False,False,False,False,True,False,False,False,True,False,False,True,False
1107,983.0,3.0,859,216,484,1973.0,2090,10382,69.0,240.0,204,6,7,1107,1973,1973,12.206072645530174,False,True,False,False,False,False,False,False,False,True,False,False,True
1022,752.0,2.0,0,952,468,1931.0,1774,6120,51.0,0.0,0,5,7,952,1931,1950,11.77452020265869,False,False,True,False,False,False,False,True,False,True,False,False,True
1077,0.0,2.0,851,140,205,1939.0,1077,7420,50.0,0.0,4,6,5,991,1939,1950,11.6784399034478,False,False,True,False,True,False,False,False,True,False,False,False,True
1040,0.0,3.0,906,134,384,1965.0,1040,11200,70.0,0.0,0,5,5,1040,1965,1965,11.771436160121729,False,False,True,False,False,False,True,False,False,True,False,False,True
1182,1142.0,4.0,998,177,736,2005.0,2324,11924,85.0,286.0,21,5,9,1175,2005,2006,12.751299696013495,False,False,True,False,False,False,False,True,False,False,False,False,False
912,0.0,2.0,737,175,352,1962.0,912,12968,69.0,0.0,0,6,5,912,1962,1962,11.877568578558138,False,False,True,False,False,False,False,False,False,True,False,False,True
1494,0.0,3.0,0,1494,840,2006.0,1494,10652,91.0,306.0,33,5,7,1494,2006,2007,12.540757571577291,False,False,False,False,False,False,False,True,True,False,False,True,False
1253,0.0,3.0,733,520,352,1960.0,1253,10920,69.0,212.0,213,5,6,1253,1960,1960,11.964001084330445,False,False,True,True,False,False,False,False,True,False,False,False,True
854,0.0,2.0,0,832,576,1991.0,854,6120,51.0,0.0,112,8,7,832,1929,2001,11.790557201568507,False,False,True,False,False,False,False,True,False,True,False,False,True
1004,0.0,2.0,578,426,480,1970.0,1004,11241,69.0,180.0,0,7,6,1004,1970,1970,11.911701584927595,False,False,True,False,False,False,False,False,False,False,False,False,True
1296,0.0,2.0,0,0,516,1967.0,1296,10791,72.0,0.0,0,5,4,0,1967,1967,11.407564949312402,False,False,True,False,False,False,False,True,False,True,False,False,True
1114,0.0,3.0,646,468,576,2004.0,1114,13695,66.0,0.0,102,5,5,1114,2004,2004,11.976659481202368,False,False,True,False,True,False,False,False,False,True,False,True,False
1339,0.0,3.0,504,525,294,1958.0,1339,7560,70.0,0.0,0,6,5,1029,1958,1965,11.842229212112828,False,False,True,False,False,True,False,False,False,True,False,False,True
1158,1218.0,4.0,0,1158,853,2005.0,2376,14215,101.0,380.0,154,5,8,1158,2005,2006,12.692503112461443,False,False,False,False,False,False,False,True,True,False,False,True,False
1108,0.0,3.0,0,637,280,1930.0,1108,7449,57.0,0.0,0,7,7,637,1930,1950,11.84510277730856,False,False,True,False,False,False,False,True,False,True,False,True,False
1795,0.0,3.0,0,1777,534,2002.0,1795,9742,75.0,281.0,159,5,8,1777,2002,2002,12.345834587905332,False,False,True,False,False,False,False,True,True,False,False,True,False
1060,0.0,3.0,840,200,572,1976.0,1060,4224,44.0,0.0,110,7,5,1040,1976,1976,11.77452020265869,False,False,True,False,True,False,False,False,False,True,False,False,True
1060,0.0,3.0,188,204,270,1968.0,1060,8246,69.0,0.0,90,8,5,1060,1968,2001,11.944707881395766,False,True,False,False,False,False,True,False,False,True,False,True,False
1600,0.0,3.0,0,1566,890,2007.0,1600,14230,110.0,640.0,56,5,8,1566,2007,2007,12.454103912352162,False,False,True,False,False,False,False,True,True,False,False,True,False
900,0.0,3.0,234,180,576,2005.0,900,7200,60.0,0.0,32,7,5,900,1951,2000,11.811547477460344,False,True,False,False,False,False,False,True,False,True,False,True,False
1704,0.0,3.0,1218,486,772,2008.0,1704,11478,98.0,200.0,50,5,8,1704,2007,2008,12.631340380934516,False,False,True,False,True,False,False,False,False,True,False,True,False
1600,0.0,2.0,1277,207,319,1957.0,1600,16321,47.0,0.0,258,6,5,1484,1957,1997,12.24288661865289,True,False,False,True,False,False,False,False,True,False,False,False,True
520,0.0,1.0,0,520,240,1920.0,520,6324,60.0,0.0,0,6,4,520,1927,1950,11.134589024250316,False,False,True,False,False,False,False,True,False,True,True,False,False
649,668.0,3.0,0,649,250,1920.0,1317,8500,50.0,0.0,54,4,4,649,1920,1950,10.596634733096073,False,False,True,False,False,False,False,True,False,True,False,False,True
1228,0.0,3.0,0,1228,271,1966.0,1228,8544,69.0,0.0,65,6,5,1228,1966,2006,11.914047823644257,False,False,True,False,False,False,False,True,False,True,False,True,False
1234,0.0,3.0,0,1234,484,2007.0,1234,11049,85.0,0.0,30,5,8,1234,2007,2007,12.100156419938624,False,False,False,False,False,False,False,True,True,False,False,True,False
1700,0.0,4.0,1018,380,447,1959.0,1700,10552,70.0,0.0,38,5,5,1398,1959,1959,12.016726473799254,False,False,True,False,False,False,True,False,True,False,False,True,False
1561,0.0,2.0,1153,408,556,2005.0,1561,7313,60.0,246.0,47,5,9,1561,2005,2005,12.533576212168626,False,False,True,False,True,False,False,False,False,False,False,False,False
1132,1320.0,4.0,0,1117,691,2004.0,2452,13418,108.0,132.0,32,5,8,1117,2004,2005,12.641096555879882,False,False,False,False,False,False,False,True,False,True,False,True,False
1097,0.0,3.0,0,1097,672,1995.0,1097,10859,112.0,0.0,64,5,5,1097,1994,1995,11.884489021402713,False,False,True,False,False,False,False,True,False,True,False,False,True
1297,0.0,3.0,1213,84,498,1954.0,1297,8532,74.0,650.0,0,6,5,1297,1954,1990,11.938193200374572,False,False,True,False,False,False,True,False,False,False,False,False,True
1057,0.0,3.0,731,326,246,1953.0,1057,7922,68.0,0.0,52,7,5,1057,1953,2007,11.59910316121128,False,False,True,False,True,False,False,False,False,True,False,True,False
1152,0.0,3.0,0,0,0,1980.0,1152,6040,65.0,0.0,0,5,4,0,1955,1955,11.314474526246393,False,False,True,False,False,False,False,True,False,True,True,False,False
1324,0.0,3.0,643,445,440,1965.0,1324,8658,84.0,101.0,138,5,6,1088,1965,1965,11.982929094215963,False,False,True,False,False,False,True,False,False,True,False,False,True
1328,0.0,2.0,967,383,308,1959.0,1328,16905,115.0,0.0,104,6,5,1350,1959,1959,12.0435537160324,True,False,False,True,False,False,False,False,False,True,False,False,True
884,0.0,2.0,747,0,504,1983.0,884,9180,69.0,0.0,0,7,5,840,1983,1983,11.877568578558138,False,False,False,False,False,False,False,False,True,False,False,True,False
938,0.0,3.0,280,167,308,1977.0,938,9200,69.0,0.0,0,6,5,938,1975,1980,11.777210959615614,False,False,False,False,False,True,False,False,False,True,False,False,True
1150,0.0,3.0,179,465,300,1959.0,1150,7945,70.0,0.0,0,6,5,1150,1959,1959,11.856515169360303,False,False,True,False,False,False,False,False,True,False,False,False,True
1752,0.0,2.0,456,1296,576,2005.0,1752,7658,61.0,412.0,82,5,9,1752,2005,2005,12.675763725937609,False,False,True,False,True,False,False,False,True,False,False,False,False
1518,631.0,1.0,1351,83,670,2003.0,2149,12822,48.0,0.0,43,5,7,1434,2003,2003,12.3870850123755,False,False,True,False,True,False,False,False,True,False,False,True,False
1656,0.0,3.0,24,1632,826,2006.0,1656,11096,84.0,0.0,146,5,8,1656,2006,2006,12.428015476267865,False,False,False,False,True,False,False,False,False,True,False,True,False
736,716.0,2.0,0,736,0,1980.0,1452,4456,33.0,0.0,0,5,4,736,1920,2008,11.635143097694478,False,False,True,False,False,False,False,True,False,True,False,False,True
955,0.0,3.0,763,192,386,1966.0,955,7742,66.0,0.0,0,7,5,955,1966,1966,11.751942365440728,False,False,True,True,False,False,False,False,False,True,False,False,True
794,676.0,3.0,182,612,388,1997.0,1470,13869,69.0,0.0,75,6,6,794,1997,1997,12.083905011555968,False,False,False,False,True,False,False,False,False,False,False,False,True
816,0.0,3.0,0,816,528,1985.0,1176,6240,52.0,0.0,0,6,6,816,1934,1950,11.648330101976432,False,False,True,False,False,False,False,True,False,True,False,False,True
816,0.0,2.0,104,0,516,1963.0,816,8472,110.0,0.0,0,5,5,816,1963,1963,11.608235644774552,True,False,False,False,False,True,False,False,False,True,False,False,True
1842,0.0,0.0,1810,32,894,1981.0,1842,50271,68.0,0.0,72,5,9,1842,1981,1987,12.86099861326992,True,False,False,False,True,False,False,False,False,False,False,True,False
1360,0.0,3.0,384,0,572,1962.0,1360,7134,60.0,0.0,50,5,5,384,1955,1955,11.77528972943772,False,False,True,False,False,False,False,False,False,True,False,False,True
1425,0.0,3.0,490,935,576,1964.0,1425,10175,100.0,272.0,0,5,6,1425,1964,1964,12.103486056755072,False,False,True,False,False,False,False,True,True,False,False,False,True
983,756.0,3.0,649,321,480,1999.0,1739,2645,24.0,456.0,0,5,8,970,1999,2000,12.058152515453552,False,False,True,False,True,False,False,False,False,False,False,True,False
860,0.0,3.0,0,860,565,2004.0,1720,11645,89.0,0.0,70,5,7,860,2004,2004,12.188417710291452,False,False,True,False,False,False,False,True,True,False,False,True,False
1426,1519.0,3.0,0,1410,641,2006.0,2945,13682,66.0,1031.0,0,5,10,1410,2006,2006,12.991753427493052,True,False,False,False,False,False,False,True,False,False,False,True,False
780,0.0,2.0,632,148,352,1973.0,780,7200,60.0,0.0,0,7,5,780,1972,1972,11.73526869611367,False,False,False,False,False,False,False,False,False,True,False,False,True
1158,0.0,3.0,941,217,576,2006.0,1158,13072,63.0,0.0,50,5,6,1158,2004,2004,11.970350312009105,False,False,True,False,False,False,False,False,False,True,False,True,False
581,530.0,3.0,0,530,288,1935.0,1111,7200,60.0,0.0,0,7,5,530,1920,1996,11.522875795823396,False,False,True,False,False,False,False,True,False,True,True,False,False
1370,0.0,2.0,24,1346,484,2006.0,1370,6442,44.0,178.0,49,5,8,1370,2006,2006,12.218495165528733,False,True,False,False,True,False,False,False,True,False,False,True,False
902,808.0,3.0,0,576,480,1990.0,1710,10300,50.0,0.0,11,6,7,576,1921,1950,11.84939770159144,False,False,True,False,False,False,False,True,False,True,False,False,True
1057,977.0,3.0,739,318,645,1998.0,2034,9375,69.0,573.0,36,5,7,1057,1997,1998,12.299107511497365,False,False,True,False,True,False,False,False,True,False,False,True,False
1143,1330.0,4.0,0,1143,852,2004.0,2473,9591,76.0,344.0,151,5,8,1143,2004,2005,12.666657052859415,False,False,False,False,False,False,False,True,False,True,False,True,False
2207,0.0,3.0,912,1035,576,1970.0,2207,19900,69.0,287.0,0,5,7,1947,1970,1989,12.100712129872347,True,False,False,False,True,False,False,False,True,False,False,False,True
